Batch,Lane,Barcode,Sample,Alignments,ProviderName
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-01,Bdolosa_new,5507_02
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-02,Bdolosa_new,5507_03
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-03,Bdolosa_new,5507_04
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-04,Bdolosa_new,5507_05
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-06,Bdolosa_new,5507_07
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-07,Bdolosa_new,5507_08
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-08,Bdolosa_new,5507_09
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-09,Bdolosa_new,5507_10
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-10,Bdolosa_new,5507_11
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-11,Bdolosa_new,5507_12
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-12,Bdolosa_new,5507_13
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-13,Bdolosa_new,5507_14
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-14,Bdolosa_new,5507_15
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-15,Bdolosa_new,5507_16
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-27-16,Bdolosa_new,5507_17
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-01,Bdolosa_new,5507_18
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-02,Bdolosa_new,5507_19
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-03,Bdolosa_new,5507_20
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-04,Bdolosa_new,5507_21
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-05,Bdolosa_new,5507_22
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-06,Bdolosa_new,5507_23
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-07,Bdolosa_new,5507_24
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-08,Bdolosa_new,5507_25
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-09,Bdolosa_new,5507_26
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-28-10,Bdolosa_new,5507_28
