Batch,Lane,Barcode,Sample,Alignments,ProviderName
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B201,Bdolosa_new,5510_01
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B202,Bdolosa_new,5510_02
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B203,Bdolosa_new,5510_03
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B204,Bdolosa_new,5510_04
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B205,Bdolosa_new,5510_05
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B206,Bdolosa_new,5510_06
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B207,Bdolosa_new,5510_07
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B208,Bdolosa_new,5510_08
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B209,Bdolosa_new,5510_09
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B210,Bdolosa_new,5510_10
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B211,Bdolosa_new,5510_11
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B212,Bdolosa_new,5510_12
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B213,Bdolosa_new,5510_13
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B214,Bdolosa_new,5510_14
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B215,Bdolosa_new,5510_15
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B216,Bdolosa_new,5510_16
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B217,Bdolosa_new,5510_17
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B218,Bdolosa_new,5510_18
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B220,Bdolosa_new,5510_20
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B221,Bdolosa_new,5510_21
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B222,Bdolosa_new,5510_22
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B223,Bdolosa_new,5510_23
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B224,Bdolosa_new,5510_24
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B301,Bdolosa_new,5510_25
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B302,Bdolosa_new,5510_26
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B303,Bdolosa_new,5510_27
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B304,Bdolosa_new,5510_28
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B305,Bdolosa_new,5510_29
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B306,Bdolosa_new,5510_30
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B307,Bdolosa_new,5510_31
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B308,Bdolosa_new,5510_32
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B309,Bdolosa_new,5510_45
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B310,Bdolosa_new,5510_46
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B311,Bdolosa_new,5510_47
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B401,Bdolosa_new,5510_48
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B402,Bdolosa_new,5510_49
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B403,Bdolosa_new,5510_50
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B404,Bdolosa_new,5510_51
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B405,Bdolosa_new,5510_52
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B406,Bdolosa_new,5510_53
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B407,Bdolosa_new,5510_54
