Batch,Lane,Barcode,Sample,Alignments,ProviderName
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-01,Bdolosa_new,5504_01
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-02,Bdolosa_new,5504_02
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-03,Bdolosa_new,5504_03
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-04,Bdolosa_new,5504_04
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-05,Bdolosa_new,5504_05
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-06,Bdolosa_new,5504_06
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-07,Bdolosa_new,5504_07
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-08,Bdolosa_new,5504_08
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-09,Bdolosa_new,5504_09
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-10,Bdolosa_new,5504_10
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-11,Bdolosa_new,5504_11
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-12,Bdolosa_new,5504_12
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-13,Bdolosa_new,5504_13
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-14,Bdolosa_new,5504_14
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-15,Bdolosa_new,5504_15
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-6-16,Bdolosa_new,5504_16
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-01,Bdolosa_new,5504_17
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-02,Bdolosa_new,5504_18
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-03,Bdolosa_new,5504_19
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-04,Bdolosa_new,5504_20
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-05,Bdolosa_new,5504_21
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-06,Bdolosa_new,5504_22
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-07,Bdolosa_new,5504_23
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-08,Bdolosa_new,5504_24
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-09,Bdolosa_new,5504_25
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-10,Bdolosa_new,5504_26
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-11,Bdolosa_new,5504_27
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-12,Bdolosa_new,5504_28
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-13,Bdolosa_new,5504_29
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-14,Bdolosa_new,5504_30
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-15,Bdolosa_new,5504_31
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-7-16,Bdolosa_new,5504_32
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-01,Bdolosa_new,5504_37
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-02,Bdolosa_new,5504_38
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-03,Bdolosa_new,5504_39
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-04,Bdolosa_new,5504_40
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-05,Bdolosa_new,5504_41
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-06,Bdolosa_new,5504_42
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-07,Bdolosa_new,5504_43
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-08,Bdolosa_new,5504_44
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-09,Bdolosa_new,5504_45
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-10,Bdolosa_new,5504_46
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-11,Bdolosa_new,5504_47
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-12,Bdolosa_new,5504_48
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-13,Bdolosa_new,5504_49
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-14,Bdolosa_new,5504_50
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-15,Bdolosa_new,5504_51
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-37-16,Bdolosa_new,5504_52
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-01,Bdolosa_new,5504_53
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-02,Bdolosa_new,5504_54
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-03,Bdolosa_new,5504_55
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-04,Bdolosa_new,5504_56
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-05,Bdolosa_new,5504_57
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-06,Bdolosa_new,5504_58
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-07,Bdolosa_new,5504_59
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-08,Bdolosa_new,5504_60
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-09,Bdolosa_new,5504_61
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-10,Bdolosa_new,5504_62
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-11,Bdolosa_new,5504_63
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-12,Bdolosa_new,5504_64
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-13,Bdolosa_new,5504_65
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-14,Bdolosa_new,5504_66
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-15,Bdolosa_new,5504_67
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-38-16,Bdolosa_new,5504_68
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-01,Bdolosa_new,5505_02
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-02,Bdolosa_new,5505_03
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-03,Bdolosa_new,5505_04
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-04,Bdolosa_new,5505_05
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-05,Bdolosa_new,5505_06
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-06,Bdolosa_new,5505_07
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-07,Bdolosa_new,5505_08
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-08,Bdolosa_new,5505_09
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-09,Bdolosa_new,5505_10
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-10,Bdolosa_new,5505_11
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-11,Bdolosa_new,5505_12
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-12,Bdolosa_new,5505_13
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-13,Bdolosa_new,5505_14
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-14,Bdolosa_new,5505_15
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-15,Bdolosa_new,5505_16
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-29-16,Bdolosa_new,5505_17
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-01,Bdolosa_new,5505_18
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-02,Bdolosa_new,5505_19
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-03,Bdolosa_new,5505_20
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-04,Bdolosa_new,5505_21
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-05,Bdolosa_new,5505_22
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-06,Bdolosa_new,5505_23
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-07,Bdolosa_new,5505_24
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-08,Bdolosa_new,5505_25
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-09,Bdolosa_new,5505_26
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-10,Bdolosa_new,5505_28
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-11,Bdolosa_new,5505_29
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-12,Bdolosa_new,5505_30
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-13,Bdolosa_new,5505_31
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-14,Bdolosa_new,5505_32
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-15,Bdolosa_new,5505_33
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-31-16,Bdolosa_new,5505_34
/scratch/users/lagoudas/bdolosa/fastq550,-1,AAAAAA,P02-LT-33-01,Bdolosa_new,5505_37
