Batch,Lane,Barcode,Sample,Alignments,ProviderName
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_10_6a,Bdolosa_new,SRR324724
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_8_3,Bdolosa_new,SRR324725
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_10_10,Bdolosa_new,SRR324726
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_11_3,Bdolosa_new,SRR324727
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_11_6,Bdolosa_new,SRR324728
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_11_8,Bdolosa_new,SRR324729
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_11_11,Bdolosa_new,SRR324730
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_12_3,Bdolosa_new,SRR324731
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_12_7,Bdolosa_new,SRR324732
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_13_0,Bdolosa_new,SRR324733
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,A_5_0a,Bdolosa_new,SRR324734
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,M_9_4,Bdolosa_new,SRR324735
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,M_10_6,Bdolosa_new,SRR324736
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,M_11_5,Bdolosa_new,SRR324737
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,M_12_6,Bdolosa_new,SRR324738
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,B_4_11,Bdolosa_new,SRR324739
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,K_10_1,Bdolosa_new,SRR324771
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,D_7_10,Bdolosa_new,SRR324780
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_9_11,Bdolosa_new,SRR324781
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_10_1,Bdolosa_new,SRR324782
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_10_6b,Bdolosa_new,SRR324783
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_10_10,Bdolosa_new,SRR324784
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_11_3,Bdolosa_new,SRR324785
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,H_12_7,Bdolosa_new,SRR324786
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_10_1,Bdolosa_new,SRR324787
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,L_10_2,Bdolosa_new,SRR324788
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_10_1,Bdolosa_new,SRR324789
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_10_5,Bdolosa_new,SRR324790
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_10_8,Bdolosa_new,SRR324791
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_10_11,Bdolosa_new,SRR324792
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_11_2,Bdolosa_new,SRR324793
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_11_3,Bdolosa_new,SRR324794
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_11_7,Bdolosa_new,SRR324795
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_11_9,Bdolosa_new,SRR324796
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_12_1,Bdolosa_new,SRR324797
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_12_4a,Bdolosa_new,SRR324798
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,N_12_6a,Bdolosa_new,SRR324799
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,F_6_9,Bdolosa_new,SRR324820
/scratch/mit_lieberman/projects/gga_bdelosa/09_22_Past_2011_Data/fastq_files,-1,AAAAAA,F_6_11,Bdolosa_new,SRR324821
